# GTEx synthetic data; source: generate_synthetic_data.py
gene,tissue,median_TPM
GENE0013,Liver,12.887898749573527
GENE0013,Lung,7.438595828170389
GENE0013,Kidney,0.7688895833414356
GENE0014,Brain,4.672167886113008
GENE0014,Heart,7.744236990524245
GENE0014,Liver,10.005843383388584
GENE0014,Lung,2.7337501947115666
GENE0014,Kidney,19.251887168628645
GENE0015,Brain,1.5583930964329993
GENE0015,Heart,2.639996476630895
GENE0015,Liver,9.469157996221554
GENE0015,Lung,4.661063733409952
GENE0015,Kidney,22.24048033433921
GENE0016,Brain,5.211227090338011
GENE0016,Heart,2.7005210283228758
GENE0016,Liver,3.313314990152443
GENE0016,Lung,1.8721417679016048
GENE0016,Kidney,1.6126130357014103
GENE0017,Brain,7.421114088559891
GENE0017,Heart,7.134432069479527
GENE0017,Liver,12.624597021373807
GENE0017,Lung,2.45055705228519
GENE0017,Kidney,17.310027570815624
GENE0018,Brain,3.5611724614739693
GENE0018,Heart,15.792365437180875
GENE0018,Liver,3.170125960438667
GENE0018,Lung,2.488333890230199
GENE0018,Kidney,5.473007580576288
GENE0019,Brain,10.228341727961386
GENE0019,Heart,5.097792798133604
GENE0019,Liver,2.8054864340163426
GENE0019,Lung,1.532689796414685
GENE0019,Kidney,1.4605072809325412
GENE0020,Brain,6.700259653501122
GENE0020,Heart,9.892436018991168
GENE0020,Liver,3.9297048681554254
GENE0020,Lung,1.897444751542759
GENE0020,Kidney,9.010888884642569
GENE0021,Brain,1.6091158139027888
GENE0021,Heart,2.5333575656145246
GENE0021,Liver,7.365554111280721
GENE0021,Lung,0.740734558241108
GENE0021,Kidney,6.104924118315337
GENE0022,Brain,2.8142261764041065
GENE0022,Heart,4.8911319434745
GENE0022,Liver,4.218327738537769
GENE0022,Lung,5.268214581358126
GENE0022,Kidney,7.809473510611138
GENE0023,Brain,2.4431891126340766
GENE0023,Heart,13.968232132660813
GENE0023,Liver,8.011476139324309
GENE0023,Lung,8.80206303534131
GENE0023,Kidney,11.380384151933175
GENE0024,Brain,8.415460731522355
GENE0024,Heart,8.804499912343966
GENE0024,Liver,4.761081691757198
GENE0024,Lung,1.431296846849831
GENE0024,Kidney,4.022742644863991
GENE0025,Brain,2.421502675752897
GENE0025,Heart,1.4359211866733819
GENE0025,Liver,5.511088936294843
GENE0025,Lung,2.843854745672578
GENE0025,Kidney,1.9663055949326382
GENE0026,Brain,1.945655884569135
GENE0026,Heart,5.555195765402049
GENE0026,Liver,5.971138181116022
GENE0026,Lung,12.909532291500328
GENE0026,Kidney,4.432076744005248
GENE0027,Brain,10.313686580263896
GENE0027,Heart,13.760633372417018
GENE0027,Liver,11.247349590286573
GENE0027,Lung,0.6755398533520792
GENE0027,Kidney,11.97650693379576
GENE0028,Brain,5.880818815774218
GENE0028,Heart,6.290352322644348
GENE0028,Liver,6.031416754810924
GENE0028,Lung,6.087306662900822
GENE0028,Kidney,5.786521745105537
GENE0029,Brain,3.363120802511721
GENE0029,Heart,0.9789171779015808
GENE0029,Liver,4.107720359914908
GENE0029,Lung,2.3561160485665282
GENE0029,Kidney,10.634790294523732
GENE0030,Brain,3.5572465166003373
GENE0030,Heart,4.791197043435201
GENE0030,Liver,2.2712156925364573
GENE0030,Lung,2.97874486538615
GENE0030,Kidney,4.4405291650080745
GENE0031,Brain,1.365744706766801
GENE0031,Heart,5.700466943717487
GENE0031,Liver,4.117071860614391
GENE0031,Lung,1.735723199089245
GENE0031,Kidney,0.6579763488378697
GENE0032,Brain,6.7560723447074515
GENE0032,Heart,3.532241901201334
GENE0032,Liver,2.932904618719592
GENE0032,Lung,3.710164799998842
GENE0032,Kidney,19.166821794047397
GENE0033,Brain,4.306645198270822
GENE0033,Heart,4.8032626722446325
GENE0033,Liver,1.3638910819084864
GENE0033,Lung,16.741174988748824
GENE0033,Kidney,9.337050282248692
GENE0034,Brain,10.52283748241684
GENE0034,Heart,4.655913746258151
GENE0034,Liver,9.330828691950048
GENE0034,Lung,6.030063058068407
GENE0034,Kidney,7.3195676519469615
GENE0035,Brain,3.967934305743565
GENE0035,Heart,1.3783534595712723
GENE0035,Liver,10.20709920048989
GENE0035,Lung,0.953164564943261
GENE0035,Kidney,3.6989561676396012
GENE0036,Brain,3.8052512066549826
GENE0036,Heart,1.945875272108299
GENE0036,Liver,7.319181531384023
GENE0036,Lung,3.8180363229784184
GENE0036,Kidney,3.1597892727043755
GENE0037,Brain,6.7928689953572805
GENE0037,Heart,3.0609850243696033
GENE0037,Liver,13.615161389693673
GENE0037,Lung,5.936763152035692
GENE0037,Kidney,3.0664900781975213
GENE0038,Brain,0.9460952945675543
GENE0038,Heart,1.5742790831085496
GENE0038,Liver,10.691666730614598
GENE0038,Lung,4.3038791740038125
GENE0038,Kidney,3.5733371942571437
GENE0039,Brain,16.686521394157523
GENE0039,Heart,1.6062152010983872
GENE0039,Liver,2.8051969772479732
GENE0039,Lung,3.070774649488668
GENE0039,Kidney,7.164009607120825
GENE0040,Brain,2.6357607272128902
GENE0040,Heart,2.743585718133399
GENE0040,Liver,1.2409540544009174
GENE0040,Lung,8.032369161331085
GENE0040,Kidney,8.54128518745299
GENE0041,Brain,3.061480437515902
GENE0041,Heart,5.107305452510064
GENE0041,Liver,1.5934207204348916
GENE0041,Lung,3.0726779451471806
GENE0041,Kidney,13.49556026610996
GENE0042,Brain,4.995735193990004
GENE0042,Heart,28.45405808058418
GENE0042,Liver,2.387497643303555
GENE0042,Lung,7.129403236511825
GENE0042,Kidney,3.8327989695393745
GENE0043,Brain,7.04736844876139
GENE0043,Heart,4.455908250336123
GENE0043,Liver,2.8606289455108938
GENE0043,Lung,2.2387251816905507
GENE0043,Kidney,52.082520386069355
GENE0044,Brain,4.212785012825178
GENE0044,Heart,0.8928572617146571
GENE0044,Liver,2.667440807454158
GENE0044,Lung,7.7093338394762325
GENE0044,Kidney,3.0041457562651264
GENE0045,Brain,13.30788826426501
GENE0045,Heart,9.993337473260642
GENE0045,Liver,3.9674719019557627
GENE0045,Lung,3.0716879943221675
GENE0045,Kidney,2.006033108978455
GENE0046,Brain,2.5600499400912504
GENE0046,Heart,1.3791750633794513
GENE0046,Liver,11.746050227485025
GENE0046,Lung,15.99955052569056
GENE0046,Kidney,1.6406451427657756
GENE0047,Brain,1.7413377147856732
GENE0047,Heart,1.0889245026605623
GENE0047,Liver,2.072833714673992
GENE0047,Lung,0.37341329583370897
GENE0047,Kidney,1.7971046367731045
GENE0048,Brain,12.64842017269474
GENE0048,Heart,3.39893441935608
GENE0048,Liver,8.878808658124827
GENE0048,Lung,3.0307943562049227
GENE0048,Kidney,18.329904239617218
GENE0049,Brain,5.256021577126738
GENE0049,Heart,3.301570176217264
GENE0049,Liver,34.53382298975869
GENE0049,Lung,3.4570738216773735
GENE0049,Kidney,1.6871172786737865
GENE0050,Brain,5.26735322248263
GENE0050,Heart,4.344592503454966
GENE0050,Liver,10.517700949805455
GENE0050,Lung,2.144042059674756
GENE0050,Kidney,8.531571231483646
GENE0051,Brain,8.865778708612556
GENE0051,Heart,2.6270201117284016
GENE0051,Liver,5.106913472385854
GENE0051,Lung,2.3057325487270215
GENE0051,Kidney,29.27244000114886
GENE0052,Brain,2.551517678521867
GENE0052,Heart,3.1190873564266806
GENE0052,Liver,1.9104323590364614
GENE0052,Lung,3.3977144325668234
GENE0052,Kidney,4.460670890696793
GENE0053,Brain,8.283216078620022
GENE0053,Heart,2.7500268716709293
GENE0053,Liver,3.8627556705765578
GENE0053,Lung,1.4431215447907673
GENE0053,Kidney,2.3119197004947947
GENE0054,Brain,40.63566164134416
GENE0054,Heart,10.308765506334534
GENE0054,Liver,2.39854131379436
GENE0054,Lung,1.5373839017297757
GENE0054,Kidney,2.0534755246966143
GENE0055,Brain,4.404590587495955
GENE0055,Heart,4.607946120324656
GENE0055,Liver,2.4707247267809587
GENE0055,Lung,1.6011793101856058
GENE0055,Kidney,13.983845971081806
GENE0056,Brain,6.432404129848772
GENE0056,Heart,3.3212645014519775
GENE0056,Liver,3.7564374958161846
GENE0056,Lung,2.9340262681570204
GENE0056,Kidney,0.42791257990819054
GENE0057,Brain,4.91616847406084
GENE0057,Heart,1.9032528949200633
GENE0057,Liver,2.0094329357980953
GENE0057,Lung,2.685293614699411
GENE0057,Kidney,8.051362822071694
GENE0058,Brain,1.7569429758544364
GENE0058,Heart,1.4227261175769281
GENE0058,Liver,7.477373994837351
GENE0058,Lung,8.194761623339396
GENE0058,Kidney,2.0810093361217956
GENE0059,Brain,7.028112248665271
GENE0059,Heart,3.5491000193409903
GENE0059,Liver,5.703236046742193
GENE0059,Lung,1.6343281066563948
GENE0059,Kidney,8.726074038567647
GENE0060,Brain,11.735367710136014
GENE0060,Heart,7.460769719875134
GENE0060,Liver,7.005334773917133
GENE0060,Lung,0.21918917157048134
GENE0060,Kidney,5.520695226861461
GENE0061,Brain,4.3913809580212755
GENE0061,Heart,3.984307795014686
GENE0061,Liver,2.7061788137188203
GENE0061,Lung,4.684653623771497
GENE0061,Kidney,6.231978908044951
GENE0062,Brain,3.629044794244855
GENE0062,Heart,3.093616170045539
GENE0062,Liver,11.986764092485002
GENE0062,Lung,1.8509634997381539
GENE0062,Kidney,10.217727053792933
GENE0063,Brain,5.162649780222402
GENE0063,Heart,2.3550347513562695
GENE0063,Liver,3.5537894438639928
GENE0063,Lung,2.146857441471753
GENE0063,Kidney,7.69100615782188
GENE0064,Brain,5.919910967897834
GENE0064,Heart,2.870720546839696
GENE0064,Liver,1.855632040664207
GENE0064,Lung,5.70517053348103
GENE0064,Kidney,9.639878313612552
GENE0065,Brain,4.091578841956494
GENE0065,Heart,6.263142153977067
GENE0065,Liver,3.317389835403779
GENE0065,Lung,4.730615707766603
GENE0065,Kidney,3.550092540468062
GENE0066,Brain,5.670252868589136
GENE0066,Heart,1.339346742600587
GENE0066,Liver,7.503371242529254
GENE0066,Lung,3.72867899733575
GENE0066,Kidney,5.970833032602335
GENE0067,Brain,3.4135469023270963
GENE0067,Heart,5.790907131958006
GENE0067,Liver,1.900182162728368
GENE0067,Lung,11.603694397965855
GENE0067,Kidney,1.1470166221495801
GENE0068,Brain,1.951520765120614
GENE0068,Heart,5.411535374434398
GENE0068,Liver,14.443923804236487
GENE0068,Lung,5.598513082188728
GENE0068,Kidney,3.6754414054429
GENE0069,Brain,1.4332260543176003
GENE0069,Heart,3.845788557691138
GENE0069,Liver,4.410986634882225
GENE0069,Lung,17.330274033554154
GENE0069,Kidney,7.37208210593803
GENE0070,Brain,1.3188045733977007
GENE0070,Heart,22.678634644657297
GENE0070,Liver,3.267391955640697
GENE0070,Lung,2.2176148540292933
GENE0070,Kidney,14.583024133982281
GENE0071,Brain,4.30680095956807
GENE0071,Heart,3.3403577782808673
GENE0071,Liver,5.338948861328208
GENE0071,Lung,8.810207780595565
GENE0071,Kidney,9.921151206041337
GENE0072,Brain,1.4915831608786336
GENE0072,Heart,22.171001055501712
GENE0072,Liver,9.55905880059974
GENE0072,Lung,3.308977238956344
GENE0072,Kidney,2.328145711550954
GENE0073,Brain,2.0642976663081627
GENE0073,Heart,4.946611269206516
GENE0073,Liver,2.668687996726805
GENE0073,Lung,2.43050930948277
GENE0073,Kidney,8.57630805223535
GENE0074,Brain,5.9993664684472305
GENE0074,Heart,3.2685386639374503
GENE0074,Liver,8.063906180899682
GENE0074,Lung,13.381898038700541
GENE0074,Kidney,1.8671308539090312
GENE0075,Brain,2.765901143387701
GENE0075,Heart,9.526691324972795
GENE0075,Liver,7.9657607678247215
GENE0075,Lung,5.372853176204237
GENE0075,Kidney,11.358165925594507
GENE0076,Brain,1.8765418034658905
GENE0076,Heart,1.3725766405929332
GENE0076,Liver,2.2407129896656945
GENE0076,Lung,4.9433106382806
GENE0076,Kidney,2.370570349338538
GENE0077,Brain,3.035042643108137
GENE0077,Heart,2.0544330148970054
GENE0077,Liver,2.728239922717096
GENE0077,Lung,2.006055236503789
GENE0077,Kidney,6.013295681747012
GENE0078,Brain,8.46477008357692
GENE0078,Heart,3.051530440033106
GENE0078,Liver,3.796909185859322
GENE0078,Lung,2.8155959433952042
GENE0078,Kidney,6.855155332595861
GENE0079,Brain,4.812635384158353
GENE0079,Heart,16.043848743701194
GENE0079,Liver,1.8656739790660872
GENE0079,Lung,5.9894644414238725
GENE0079,Kidney,6.392932732777938
GENE0080,Brain,3.359015292141375
GENE0080,Heart,7.147962148645445
GENE0080,Liver,1.4179070569714733
GENE0080,Lung,24.411209305713708
GENE0080,Kidney,1.5316788744529333
GENE0081,Brain,9.354390529685245
GENE0081,Heart,1.8277795269134387
GENE0081,Liver,11.253806477590851
GENE0081,Lung,3.2942574261359137
GENE0081,Kidney,5.087254661030158
GENE0082,Brain,4.6770847752361115
GENE0082,Heart,10.811250187913057
GENE0082,Liver,3.465171200328974
GENE0082,Lung,0.4173846885261175
GENE0082,Kidney,2.4398900283680596
GENE0083,Brain,5.191225821852685
GENE0083,Heart,3.1507024756059256
GENE0083,Liver,8.296690339954845
GENE0083,Lung,10.097234725237668
GENE0083,Kidney,3.9819934155221484
GENE0084,Brain,1.3610870534663404
GENE0084,Heart,13.562818135279722
GENE0084,Liver,10.659407121654775
GENE0084,Lung,3.527703499730737
GENE0084,Kidney,24.20673085789657
GENE0085,Brain,3.3902363269457405
GENE0085,Heart,1.8045373148556163
GENE0085,Liver,3.9562683811316988
GENE0085,Lung,10.61498808200904
GENE0085,Kidney,2.1170788677917236
GENE0086,Brain,21.3484697406479
GENE0086,Heart,2.1875430703143364
GENE0086,Liver,9.617052464481093
GENE0086,Lung,6.9279911882990834
GENE0086,Kidney,3.9620214109332
GENE0087,Brain,10.637934966424886
GENE0087,Heart,1.3500761103597891
GENE0087,Liver,13.277321501572011
GENE0087,Lung,4.259078306194411
GENE0087,Kidney,2.9038916919576283
GENE0088,Brain,8.160775803638392
GENE0088,Heart,10.463774149183244
GENE0088,Liver,8.296521615548293
GENE0088,Lung,22.18914170499167
GENE0088,Kidney,10.639578418851038
GENE0089,Brain,12.513465517953337
GENE0089,Heart,2.9098712908558593
GENE0089,Liver,4.880360165998974
GENE0089,Lung,7.031401640776985
GENE0089,Kidney,4.4185262400535015
GENE0090,Brain,5.704801487849867
GENE0090,Heart,6.302105682732474
GENE0090,Liver,8.805663853319468
GENE0090,Lung,4.13179892576763
GENE0090,Kidney,3.387731853449895
GENE0091,Brain,2.310230908267022
GENE0091,Heart,2.1959486481042445
GENE0091,Liver,11.449670838720877
GENE0091,Lung,4.188668108763662
GENE0091,Kidney,8.411127275307695
GENE0092,Brain,1.5874182000440258
GENE0092,Heart,0.9507211412797197
GENE0092,Liver,1.936199469280286
GENE0092,Lung,11.215554102375265
GENE0092,Kidney,10.532460366223702
GENE0093,Brain,5.845258888718608
GENE0093,Heart,2.359061522216509
GENE0093,Liver,4.036418894994006
GENE0093,Lung,3.531743350961421
GENE0093,Kidney,3.4008361339004427
GENE0094,Brain,0.6035925650434031
GENE0094,Heart,2.256147902781056
GENE0094,Liver,3.8493830913756653
GENE0094,Lung,15.07657525753642
GENE0094,Kidney,5.096705992864204
GENE0095,Brain,13.745488057782078
GENE0095,Heart,3.270799573771476
GENE0095,Liver,3.6614129872540606
GENE0095,Lung,0.19799027135935182
GENE0095,Kidney,6.492607820614711
GENE0096,Brain,6.942601283987177
GENE0096,Heart,18.375297871244825
GENE0096,Liver,3.036152325504217
GENE0096,Lung,4.8323037699670435
GENE0096,Kidney,2.5486852455382993
GENE0097,Brain,1.7489128180687044
GENE0097,Heart,2.5332767595302252
GENE0097,Liver,3.4007676336145067
GENE0097,Lung,13.25467635919905
GENE0097,Kidney,4.489625461189557
GENE0098,Brain,2.3811037775774224
GENE0098,Heart,5.020363104157839
GENE0098,Liver,5.333763488686536
GENE0098,Lung,2.609123536636382
GENE0098,Kidney,11.18514883264451
GENE0099,Brain,0.9893777065038586
GENE0099,Heart,3.7778848802542657
GENE0099,Liver,7.629733009661042
GENE0099,Lung,1.536111133148679
GENE0099,Kidney,5.983483951576052
GENE0100,Brain,12.607784493796103
GENE0100,Heart,6.442631092429447
GENE0100,Liver,1.1593645410989861
GENE0100,Lung,2.5028847785543116
GENE0100,Kidney,12.011238125612895
GENE0101,Brain,5.689760728661601
GENE0101,Heart,4.446480343625277
GENE0101,Liver,6.378675511793053
GENE0101,Lung,7.9792080126766045
GENE0101,Kidney,2.542703310956707
GENE0102,Brain,3.5526007323969413
GENE0102,Heart,5.024524988039083
GENE0102,Liver,2.9003569701438496
GENE0102,Lung,4.027874241011525
GENE0102,Kidney,12.658101044058922
GENE0103,Brain,2.066268055164079
GENE0103,Heart,20.933069208709615
GENE0103,Liver,20.15546569343633
GENE0103,Lung,1.1379728179706186
GENE0103,Kidney,4.003551602961513
GENE0104,Brain,5.895287221578808
GENE0104,Heart,2.4383050102832575
GENE0104,Liver,2.477216614562911
GENE0104,Lung,3.706423674676187
GENE0104,Kidney,8.095776206532042
GENE0105,Brain,2.9770501533719163
GENE0105,Heart,19.32413918361965
GENE0105,Liver,5.65182895638653
GENE0105,Lung,4.128605805967515
GENE0105,Kidney,14.287824601174584
GENE0106,Brain,7.396633439227373
GENE0106,Heart,6.022060163034422
GENE0106,Liver,3.4386800583510313
GENE0106,Lung,19.1286744834994
GENE0106,Kidney,8.58020041648706
GENE0107,Brain,3.8086352818975278
GENE0107,Heart,1.2690145818094707
GENE0107,Liver,6.039741623161926
GENE0107,Lung,1.7950052133669525
GENE0107,Kidney,1.1356932286109547
GENE0108,Brain,3.584714364223181
GENE0108,Heart,5.613513871850228
GENE0108,Liver,12.503204693710726
GENE0108,Lung,5.617919840398134
GENE0108,Kidney,8.540466415750764
GENE0109,Brain,1.6808402813132348
GENE0109,Heart,4.401627056004332
GENE0109,Liver,4.949908321220875
GENE0109,Lung,8.933398983276456
GENE0109,Kidney,4.917737360981286
GENE0110,Brain,8.527218010344647
GENE0110,Heart,2.9940907668237102
GENE0110,Liver,5.967713913285442
GENE0110,Lung,6.245699338179668
GENE0110,Kidney,1.6490171113548353
GENE0111,Brain,5.157391368158596
GENE0111,Heart,3.4684575270750813
GENE0111,Liver,0.976998307882922
GENE0111,Lung,9.647755948516492
GENE0111,Kidney,3.355205618592564
GENE0112,Brain,2.266162684004209
GENE0112,Heart,3.3139691336822166
GENE0112,Liver,5.005614800663257
GENE0112,Lung,14.974183038341572
GENE0112,Kidney,3.9245568389855467
GENE0113,Brain,6.539926962326804
GENE0113,Heart,13.44844520894854
GENE0113,Liver,6.867776669895918
GENE0113,Lung,10.536562231701973
GENE0113,Kidney,3.061154440149256
GENE0114,Brain,8.304848170324009
GENE0114,Heart,4.27857153313159
GENE0114,Liver,10.585964182917621
GENE0114,Lung,2.0080263864515904
GENE0114,Kidney,2.402125084399504
GENE0115,Brain,12.366426473941239
GENE0115,Heart,3.8310266493944676
GENE0115,Liver,3.36299344174709
GENE0115,Lung,4.768624676176518
GENE0115,Kidney,2.581581083039296
GENE0116,Brain,13.007850955436943
GENE0116,Heart,1.6498260838985424
GENE0116,Liver,3.9730004945559485
GENE0116,Lung,5.915418389439463
GENE0116,Kidney,4.122428142545452
GENE0117,Brain,2.358839978605615
GENE0117,Heart,2.237342197891952
GENE0117,Liver,6.29852538833746
GENE0117,Lung,1.96524248524211
GENE0117,Kidney,7.515699989972221
GENE0118,Brain,1.3240315798539026
GENE0118,Heart,2.874887441288292
GENE0118,Liver,4.613767728524038
GENE0118,Lung,1.6458853485537857
GENE0118,Kidney,7.550461527186441
GENE0119,Brain,4.415711381339605
GENE0119,Heart,1.9564684850692808
GENE0119,Liver,1.3296149861132696
GENE0119,Lung,1.2808558699726271
GENE0119,Kidney,4.668450211471249
GENE0120,Brain,1.7763059774781658
GENE0120,Heart,1.5039520139706588
GENE0120,Liver,3.724822693380741
GENE0120,Lung,27.71573825458282
GENE0120,Kidney,5.595889380392398
GENE0121,Brain,8.25100545950925
GENE0121,Heart,5.313095791841992
GENE0121,Liver,8.384508130301343
GENE0121,Lung,1.5303999089169176
GENE0121,Kidney,3.1758979899825377
GENE0122,Brain,5.523880909041752
GENE0122,Heart,4.417909176388042
GENE0122,Liver,3.843584612137273
GENE0122,Lung,2.630829343477009
GENE0122,Kidney,3.644770927608981
GENE0123,Brain,2.4124473758813894
GENE0123,Heart,0.6456702129072254
GENE0123,Liver,1.723562287830822
GENE0123,Lung,6.556928986881625
GENE0123,Kidney,15.574926795550489
GENE0124,Brain,19.122471026471718
GENE0124,Heart,4.8423560765108915
GENE0124,Liver,9.158724284677334
GENE0124,Lung,9.266283002547468
GENE0124,Kidney,2.5758836824792013
GENE0125,Brain,1.1521711692234837
GENE0125,Heart,4.593810506998844
GENE0125,Liver,1.0944360439149001
GENE0125,Lung,3.4696589701596943
GENE0125,Kidney,7.289928000021223
GENE0126,Brain,1.4389942175552681
GENE0126,Heart,4.598988128099339
GENE0126,Liver,12.085597957532249
GENE0126,Lung,5.984722543069377
GENE0126,Kidney,6.806359260931749
GENE0127,Brain,9.257113944821025
GENE0127,Heart,17.92812049819182
GENE0127,Liver,5.058846360850826
GENE0127,Lung,11.984338701047914
GENE0127,Kidney,4.257425466197991
GENE0128,Brain,2.8952311362652425
GENE0128,Heart,5.765297608356015
GENE0128,Liver,2.7603285751389013
GENE0128,Lung,2.8334544681720555
GENE0128,Kidney,2.756074805730845
GENE0129,Brain,0.7143806350168884
GENE0129,Heart,4.8763626440889345
GENE0129,Liver,1.6305733690576287
GENE0129,Lung,4.113131676582645
GENE0129,Kidney,14.295932044564909
GENE0130,Brain,2.9541168548855326
GENE0130,Heart,2.904881719343344
GENE0130,Liver,13.344809498081082
GENE0130,Lung,6.938215524157572
GENE0130,Kidney,9.788631662550033
GENE0131,Brain,3.3728801146838694
GENE0131,Heart,8.153657261149403
GENE0131,Liver,2.5884652400815926
GENE0131,Lung,2.6096043492096137
GENE0131,Kidney,7.221014262175141
GENE0132,Brain,2.7768063239370084
GENE0132,Heart,8.27877354296151
GENE0132,Liver,30.36673082377691
GENE0132,Lung,1.1630873409807416
GENE0132,Kidney,2.45526942122034
GENE0133,Brain,10.980455782592008
GENE0133,Heart,3.9905835143431925
GENE0133,Liver,11.346075121316865
GENE0133,Lung,1.997604237933366
GENE0133,Kidney,5.842012491849949
GENE0134,Brain,3.9731329742017376
GENE0134,Heart,5.014313778730546
GENE0134,Liver,5.840946264134296
GENE0134,Lung,1.6887606384542382
GENE0134,Kidney,1.8977899249007848
GENE0135,Brain,13.727418806819745
GENE0135,Heart,5.666496181199031
GENE0135,Liver,4.879667422238883
GENE0135,Lung,4.32641918538851
GENE0135,Kidney,5.960974646294186
GENE0136,Brain,1.7775759466970618
GENE0136,Heart,2.015320287708787
GENE0136,Liver,12.725484008760581
GENE0136,Lung,5.0582479959245985
GENE0136,Kidney,8.84843581139213
GENE0137,Brain,2.760657274915942
GENE0137,Heart,13.482334922065272
GENE0137,Liver,5.9074999655987925
GENE0137,Lung,6.5863324133312915
GENE0137,Kidney,6.951680786849513
GENE0138,Brain,2.3688215815174867
GENE0138,Heart,1.0074509303445522
GENE0138,Liver,1.896780293418002
GENE0138,Lung,16.517464668893627
GENE0138,Kidney,12.686610884232708
GENE0139,Brain,3.395540338935518
GENE0139,Heart,3.5206968486068795
GENE0139,Liver,10.27059236858428
GENE0139,Lung,3.916788672244255
GENE0139,Kidney,1.5850121991042665
GENE0140,Brain,12.334922586962252
GENE0140,Heart,6.564936678099358
GENE0140,Liver,0.598653823479874
GENE0140,Lung,3.488416525306475
GENE0140,Kidney,5.027566966558979
GENE0141,Brain,6.586337723543932
GENE0141,Heart,5.061793926764833
GENE0141,Liver,2.695022524484085
GENE0141,Lung,4.085290194262686
GENE0141,Kidney,5.67369314684938
GENE0142,Brain,3.616825587180187
GENE0142,Heart,3.3283591148208926
GENE0142,Liver,12.202820956239078
GENE0142,Lung,2.1016312980912346
GENE0142,Kidney,3.3886419049411702
GENE0143,Brain,0.8824834795211366
GENE0143,Heart,6.9086618904805395
GENE0143,Liver,8.693812518614529
GENE0143,Lung,6.9503322631210445
GENE0143,Kidney,9.338428562592204
GENE0144,Brain,6.376155922669517
GENE0144,Heart,5.894456380936161
GENE0144,Liver,6.5479868652589825
GENE0144,Lung,3.6188389937496646
GENE0144,Kidney,11.596024108314458
GENE0145,Brain,3.3910592916283324
GENE0145,Heart,1.3911329121355174
GENE0145,Liver,8.844775015099694
GENE0145,Lung,19.69888871922464
GENE0145,Kidney,2.078983567007822
GENE0146,Brain,4.131725417346096
GENE0146,Heart,2.589970255870397
GENE0146,Liver,3.3053203579196335
GENE0146,Lung,4.650033284002866
GENE0146,Kidney,1.659561212777436
GENE0147,Brain,3.5890123850168614
GENE0147,Heart,1.3871150558135046
GENE0147,Liver,2.8445869987650068
GENE0147,Lung,1.735237474270197
GENE0147,Kidney,1.9208185828828934
GENE0148,Brain,1.1320967626192193
GENE0148,Heart,11.887455340108682
GENE0148,Liver,6.734524915910834
GENE0148,Lung,0.966599308693686
GENE0148,Kidney,2.780241862344951
GENE0149,Brain,2.6212442774073974
GENE0149,Heart,2.5785950528846344
GENE0149,Liver,1.408454761988996
GENE0149,Lung,8.194871871348724
GENE0149,Kidney,3.2651606708980827
GENE0150,Brain,6.517684192145692
